voterId,name,age,gender,phone,email,address,state,pincode,aadhaarId,registrationDate
INDVOTER100889,Gaurang Ganesh,75,Male,9550525938,gaurangganesh21877@yahoo.com,"19/95, Bumb Road, Madanapalle-879647",Mizoram,702406,889321802311,2018-06-20
INDVOTER100939,Harsh Mahal,80,Other,9369545735,harshmahal22631@outlook.com,"096, Bandi Nagar, Ballia-198828",Punjab,441966,320095146326,2020-03-08
INDVOTER100851,Janya Raghavan,66,Female,9775734351,janyaraghavan23622@yahoo.com,"82/31, Jain Ganj, Uluberia 923274",Meghalaya,971544,547742827170,2015-08-18
INDVOTER100280,Wahab Dhar,29,Other,9157074148,wahabdhar24801@yahoo.com,"84, Borra Road, Kolkata-137145",Haryana,403343,257640029376,2017-01-26
INDVOTER100079,Devansh Bhardwaj,39,Female,9279123478,devanshbhardwaj25337@outlook.com,"46/172, Nagi Chowk, Panihati 766007",Tripura,374374,440903886684,2016-07-12
INDVOTER100896,Dipta Ghose,54,Female,9170201668,diptaghose2613@gmail.com,"06/40, Kapoor Chowk, Hubli–Dharwad 503827",Himachal Pradesh,343671,677547972584,2022-01-12
INDVOTER100845,George Acharya,74,Other,9383735583,georgeacharya2791@yahoo.com,"H.No. 804, Luthra Chowk, Shimoga 020978",Karnataka,689120,872378225968,2020-10-29
INDVOTER100932,Arya Rao,84,Other,9306211766,aryarao28595@outlook.com,"488, Ramachandran Zila, Giridih 447637",Odisha,319454,666002934559,2018-04-11
INDVOTER100691,Devansh Tiwari,43,Other,9256376204,devanshtiwari29311@yahoo.com,"21/98, Mody Road, Sagar-422232",Bihar,844029,763199644936,2017-05-26
INDVOTER100058,Pooja Chand,30,Male,9237903271,poojachand30460@gmail.com,"H.No. 928, Mukherjee Path, Nagercoil-038990",Andhra Pradesh,645801,249744413375,2022-01-01
INDVOTER100859,Manan Mane,31,Female,9453051898,mananmane31347@yahoo.com,"14/910, Goswami Path, North Dumdum-976157",Madhya Pradesh,464825,744023847029,2023-03-12
INDVOTER100680,Chandresh Mane,80,Male,9518138719,chandreshmane32347@yahoo.com,"66/144, Badal Path, Guwahati 723134",Odisha,232605,425974492771,2018-06-08
INDVOTER100092,Rohan Sankaran,19,Male,9030318690,rohansankaran33880@outlook.com,"H.No. 13, Bala Chowk, Bally 547328",Meghalaya,585792,920795184842,2018-06-21
INDVOTER100220,Krish Rattan,27,Female,9554890294,krishrattan34376@outlook.com,"73/361, Char Road, Vijayanagaram-183648",Kerala,366163,981654961361,2021-10-24
INDVOTER100380,Yagnesh Nadkarni,28,Male,9646621065,yagneshnadkarni35329@outlook.com,"H.No. 54, Chanda Circle, Gangtok 996858",Andhra Pradesh,715328,583143390196,2023-10-20
INDVOTER100760,Geetika Lata,79,Other,9470859226,geetikalata36336@gmail.com,"66, Dada Path, Gandhidham-303732",Punjab,954960,715442766912,2022-03-06
INDVOTER100549,Ekaraj Sastry,54,Female,9178777466,ekarajsastry37506@yahoo.com,"H.No. 421, Chandran Circle, Mathura-300068",Nagaland,985852,230447386758,2022-06-18
INDVOTER100122,Yatin Walla,25,Male,9142275462,yatinwalla38502@outlook.com,"34, Wali Zila, Ramgarh 207142",Gujarat,671916,071858912818,2016-07-05
INDVOTER100947,Adya Salvi,88,Male,9714801008,adyasalvi39616@yahoo.com,"H.No. 95, Mahal Path, Avadi-669801",Goa,037092,415561106001,2022-11-05
INDVOTER100594,Aishani Guha,56,Female,9479571868,aishaniguha40142@gmail.com,"138, Loyal, Sasaram-300248",Rajasthan,771767,096787127289,2023-12-29
INDVOTER100067,Ikbal Sagar,63,Female,9448774080,ikbalsagar4135@yahoo.com,"49/137, Dhar Chowk, Shimoga-307660",Meghalaya,092874,526102803721,2016-12-26
INDVOTER100862,Samaksh Nadkarni,54,Male,9999800616,samakshnadkarni42725@yahoo.com,"H.No. 77, Chawla Chowk, Giridih-168303",Goa,325163,671986105872,2017-04-17
INDVOTER100592,Ridhi Menon,69,Female,9138204893,ridhimenon43772@yahoo.com,"H.No. 75, Bose Nagar, Kochi-036871",Andhra Pradesh,308980,481941775849,2023-12-19
INDVOTER100127,Naveen Gola,54,Other,9524648491,naveengola44727@yahoo.com,"59, Pall, Raipur 229239",West Bengal,599209,543128119872,2018-01-26
INDVOTER100732,Kashish Sarma,50,Male,9106440333,kashishsarma4542@outlook.com,"70, Sani Zila, Ranchi-038373",Uttar Pradesh,060124,741221112608,2019-10-28
INDVOTER100532,Maanas Kohli,40,Male,9592098994,maanaskohli46640@gmail.com,"H.No. 95, Sarin Zila, Berhampur 545709",Manipur,021916,063411320103,2021-01-14
INDVOTER100162,Ojas Misra,37,Male,9872158785,ojasmisra47135@outlook.com,"H.No. 570, Brahmbhatt Nagar, Orai 083022",Maharashtra,015030,893965336942,2022-02-04
INDVOTER100156,Yashodhara Zacharia,42,Male,9716454260,yashodharazacharia48367@gmail.com,"28, Bajwa Nagar, Berhampore-838641",Jharkhand,950749,571327264112,2018-03-12
INDVOTER100377,Yochana Chadha,82,Other,9844364185,yochanachadha49307@gmail.com,"74, Hayer Marg, Gwalior 192766",Meghalaya,615618,523797247080,2021-04-12
INDVOTER100610,Advaith Bali,85,Male,9788085980,advaithbali50716@outlook.com,"H.No. 128, Ganesh Path, Dindigul 535676",Uttarakhand,580139,434951717215,2020-11-18
INDVOTER100662,Yashoda Dara,23,Male,9123119098,yashodadara51389@outlook.com,"505, Sachdev Ganj, Muzaffarnagar-152328",Meghalaya,058068,517449191550,2018-02-04
INDVOTER100378,Ishita Tella,26,Female,9534724533,ishitatella52259@gmail.com,"H.No. 02, Bandi Nagar, Bhusawal 225929",Uttarakhand,338957,853199805672,2016-06-02
INDVOTER100338,Yutika Cheema,29,Female,9070662530,yutikacheema53925@outlook.com,"45, Chana Circle, Surat-434126",Goa,483006,530727200589,2017-07-28
INDVOTER101012,Hemangini Sankar,39,Other,9930531272,hemanginisankar54309@yahoo.com,"24/917, Kulkarni Path, Nandyal-779797",Himachal Pradesh,547212,782652575774,2019-01-01
INDVOTER100773,Jagat Kulkarni,88,Female,9688143853,jagatkulkarni55836@yahoo.com,"54/913, Seth Path, Tirupati-690891",Nagaland,614903,659303090121,2019-03-26
INDVOTER100712,Peter Anne,63,Female,9909087817,peteranne56578@yahoo.com,"052, Randhawa Zila, Pallavaram-782464",Odisha,843733,980957504021,2016-08-23
INDVOTER100194,Warhi Murty,52,Male,9518866476,warhimurty57948@outlook.com,"07/290, Dayal Marg, Raurkela Industrial Township-504516",Maharashtra,686737,195637250848,2022-11-20
INDVOTER100749,Anjali Pathak,57,Male,9214029063,anjalipathak58612@outlook.com,"98, Anne Nagar, Patna 544474",Himachal Pradesh,492207,865576855162,2015-02-10
INDVOTER100148,Hardik Patla,80,Other,9425586867,hardikpatla59967@yahoo.com,"H.No. 55, Lad Road, Alappuzha 695877",Karnataka,820877,477691490732,2019-06-30
INDVOTER100339,Hemangini Kohli,56,Female,9314366593,hemanginikohli60158@gmail.com,"77/54, Varkey Road, Kochi 745822",Himachal Pradesh,754180,619471508296,2022-07-04
INDVOTER100499,Dayita Bala,31,Female,9589617912,dayitabala61755@gmail.com,"131, Verma Street, Kulti-881865",Tripura,372498,052864277423,2020-02-14
INDVOTER100365,Leela Doshi,41,Female,9377209316,leeladoshi62256@yahoo.com,"77/14, Garg Path, Muzaffarnagar 523658",Telangana,614549,052193767935,2023-07-21
INDVOTER100812,Mahika Dua,70,Female,9551224017,mahikadua63498@outlook.com,"H.No. 51, Parmar, Hazaribagh-872635",Sikkim,714689,028185182505,2015-12-30
INDVOTER100719,Gautam Narang,84,Female,9923007047,gautamnarang64874@outlook.com,"H.No. 200, Korpal Ganj, Bhatpara-635988",Jharkhand,391710,169009129126,2017-12-12
INDVOTER100975,Rudra Loyal,39,Other,9804614782,rudraloyal65325@gmail.com,"48, Patel Path, Kakinada-702830",Tamil Nadu,083264,954260805863,2016-06-22
INDVOTER101011,Arjun Chaudry,43,Male,9981718025,arjunchaudry6641@outlook.com,"H.No. 33, Sahni Street, Rampur 759277",Gujarat,753833,299495751564,2020-02-25
INDVOTER100646,Prisha Mallick,73,Other,9128424423,prishamallick67682@outlook.com,"H.No. 734, Soni Zila, Faridabad-725768",Jharkhand,330206,736838659224,2023-06-03
INDVOTER100698,Chaitanya Kaul,19,Female,9142379393,chaitanyakaul68522@outlook.com,"H.No. 95, Garde Road, Bijapur 591383",Tamil Nadu,883230,002737946894,2020-08-02
INDVOTER100631,Radha Chakraborty,23,Female,9367442646,radhachakraborty69766@outlook.com,"H.No. 900, Majumdar Road, Guntakal 336930",Arunachal Pradesh,886262,393465509676,2022-08-21
INDVOTER100737,Jackson Wadhwa,40,Male,9904161209,jacksonwadhwa70176@gmail.com,"17/819, Borra Path, Madhyamgram 125621",Tamil Nadu,615661,589777937565,2016-04-13
INDVOTER100084,Vrinda Chaudhary,80,Other,9055696889,vrindachaudhary71490@yahoo.com,"832, Sankaran Road, Karawal Nagar 142795",Karnataka,965110,126834942728,2016-03-26
INDVOTER100170,Ikbal Sachar,36,Female,9048760082,ikbalsachar72122@outlook.com,"73/763, Vala Street, New Delhi 360773",Madhya Pradesh,576199,956524604427,2022-06-06
INDVOTER100563,Krisha Raman,53,Female,9980120353,krisharaman73987@yahoo.com,"967, Nagar, Shivpuri-126366",Kerala,239320,755327944981,2018-07-24
INDVOTER100433,Widisha Sood,90,Female,9704726193,widishasood74144@outlook.com,"H.No. 784, Narasimhan Chowk, Delhi 873427",Arunachal Pradesh,073698,438588410875,2017-01-09
INDVOTER100713,Aashi Bhavsar,27,Male,9712240324,aashibhavsar75166@outlook.com,"59/499, Varty Ganj, Jamnagar-094299",Meghalaya,819193,497686475674,2019-07-20
INDVOTER100641,Chakradhar Desai,51,Male,9959308820,chakradhardesai76311@outlook.com,"H.No. 81, Yadav Street, Jhansi 204394",Karnataka,627687,188230220109,2017-05-16
INDVOTER100486,Kiaan Wali,65,Female,9572197009,kiaanwali7752@gmail.com,"H.No. 45, Mani Nagar, Etawah-427515",Telangana,671465,637091054089,2019-10-06
INDVOTER100784,Naksh Zachariah,88,Other,9044559246,nakshzachariah7840@outlook.com,"975, Khosla Chowk, Rourkela-051746",Gujarat,459145,922132596287,2015-03-22
INDVOTER100404,Frado Divan,37,Female,9535797413,fradodivan79156@yahoo.com,"048, Sagar Street, Adoni 886195",Meghalaya,192054,187866534589,2016-05-07
INDVOTER100139,Bhavika Subramanian,22,Male,9886204970,bhavikasubramanian80967@outlook.com,"H.No. 714, Doshi Marg, Mira-Bhayandar 796257",Punjab,387514,223112208566,2023-03-09
INDVOTER100814,Lakshmi Tandon,41,Other,9807539791,lakshmitandon81315@yahoo.com,"H.No. 40, Nath Path, Nizamabad-729710",Haryana,461772,191164437662,2018-04-03
INDVOTER100544,Neel Kibe,32,Female,9156231159,neelkibe82282@outlook.com,"083, Bali Ganj, Ajmer 232914",Odisha,148138,233228444553,2016-11-28
INDVOTER100158,Chakrika Peri,69,Other,9993857832,chakrikaperi83942@gmail.com,"886, Sarraf Street, Berhampore-048329",Meghalaya,899085,579145519033,2016-05-18
INDVOTER100326,Varenya Sekhon,77,Female,9729684200,varenyasekhon84880@outlook.com,"93/948, Venkatesh Zila, Amaravati 074027",Gujarat,333770,436399783468,2019-10-27
INDVOTER100751,Ekalinga Hayre,83,Other,9322371930,ekalingahayre85380@yahoo.com,"23, Rao Circle, Mirzapur-255136",Arunachal Pradesh,150168,156393355906,2022-03-20
INDVOTER100201,Vivaan Pal,35,Male,9178611185,vivaanpal8623@gmail.com,"30/73, Deshpande Chowk, Sikar-485042",Gujarat,020408,057782817146,2022-07-22
INDVOTER100360,William Taneja,27,Other,9713468381,williamtaneja87838@yahoo.com,"H.No. 99, Kata Circle, Kishanganj-117693",Arunachal Pradesh,714955,691144966184,2015-11-04
INDVOTER100706,Vritti Sibal,61,Male,9131460879,vrittisibal88831@yahoo.com,"296, Kala Circle, Mango 458450",Andhra Pradesh,003537,008219081424,2021-03-07
INDVOTER100305,Daksha Salvi,21,Other,9656761465,dakshasalvi89558@gmail.com,"H.No. 937, Pillai Zila, Ambarnath 583019",Telangana,338792,960857139766,2021-05-28
INDVOTER100135,Ikbal Bedi,66,Female,9716772880,ikbalbedi90226@gmail.com,"H.No. 06, Chhabra Road, Bellary-400534",Tamil Nadu,198119,234221073041,2020-08-21
INDVOTER100470,Fariq Lanka,32,Female,9635926341,fariqlanka91940@outlook.com,"H.No. 536, Oommen Circle, Katihar 420828",Manipur,146633,541604209844,2021-04-19
INDVOTER100920,Ekavir Pillai,20,Other,9779978938,ekavirpillai925@outlook.com,"99, Swaminathan Chowk, Suryapet 017521",Mizoram,545123,458333603787,2019-01-21
INDVOTER100587,Upkaar Ganesh,67,Other,9900758085,upkaarganesh93971@gmail.com,"03, Rattan Street, Begusarai 410375",Uttar Pradesh,399836,486965639045,2015-01-05
INDVOTER100638,Manthan Kota,30,Other,9288508353,manthankota94164@gmail.com,"H.No. 98, Gara Zila, Bellary 448841",Tamil Nadu,605505,359892750520,2019-08-22
INDVOTER100683,Anthony Gandhi,73,Female,9963403460,anthonygandhi9596@gmail.com,"64/74, Ratta Ganj, Danapur 304779",Assam,528538,884646061154,2018-07-21
INDVOTER100993,Warhi Garg,46,Other,9002511643,warhigarg96918@gmail.com,"53, Sagar Road, Bhubaneswar-755902",Bihar,409700,160265112081,2022-06-25
INDVOTER100801,Diya Wali,45,Male,9078817334,diyawali97575@gmail.com,"46, Anand Chowk, Coimbatore-954760",Manipur,291418,448542083509,2017-08-12
INDVOTER100462,Chameli Prabhu,55,Other,9634523454,chameliprabhu9824@yahoo.com,"H.No. 120, Reddy, Narasaraopet 019069",West Bengal,279864,210009717038,2015-01-25
INDVOTER100885,Nitara Rege,65,Male,9910355876,nitararege99153@yahoo.com,"H.No. 00, Morar Street, Jamnagar-968452",Gujarat,318129,355167150626,2015-10-02
INDVOTER100637,Hema Sem,41,Other,9027863541,hemasem100959@outlook.com,"H.No. 576, Banik Road, Visakhapatnam 062132",Kerala,356987,524013675495,2021-11-13
INDVOTER100481,Amaira Narayan,45,Female,9305350631,amairanarayan101525@gmail.com,"28, Deshpande Path, Mau-057702",Bihar,135028,041602799967,2017-03-25
INDVOTER100414,Sudiksha Verma,48,Male,9441214194,sudikshaverma102744@gmail.com,"751, Mane Nagar, Kolhapur-130770",Maharashtra,011764,193969655417,2021-06-13
INDVOTER100276,Falan Hari,87,Other,9705813997,falanhari103596@yahoo.com,"47, Sabharwal, Pali 222754",Maharashtra,869576,649810835022,2018-04-21
INDVOTER100797,Lakshit Badami,33,Other,9190104791,lakshitbadami10443@outlook.com,"H.No. 27, Kadakia Zila, Junagadh-612062",Odisha,644561,382529024803,2022-07-25
INDVOTER100953,Sara Sundaram,20,Female,9863789961,sarasundaram105692@outlook.com,"61, Contractor Nagar, Siwan 068089",West Bengal,308876,977922865686,2018-06-06
INDVOTER100937,Owen Madan,67,Female,9448460307,owenmadan106763@outlook.com,"H.No. 174, Mand Road, Dehradun-711626",Meghalaya,164942,985337253711,2015-06-01
INDVOTER101100,Samaksh Gera,51,Female,9732216335,samakshgera107639@gmail.com,"99, Singh Street, Panchkula-726089",Nagaland,686674,631591272150,2020-08-14
INDVOTER100311,Ekapad Kuruvilla,87,Male,9690277658,ekapadkuruvilla108318@gmail.com,"25/11, Rama Zila, Tirunelveli 142763",Tamil Nadu,241547,947793968167,2022-06-05
INDVOTER101034,Wriddhish Shenoy,18,Male,9215380951,wriddhishshenoy109161@gmail.com,"H.No. 42, Trivedi Circle, Alappuzha 911227",Kerala,815719,902266076326,2019-02-21
INDVOTER100528,Vritti Rastogi,74,Female,9365802377,vrittirastogi110683@gmail.com,"565, Golla Zila, Etawah 401226",Tripura,629471,608346173650,2020-05-24
INDVOTER100923,Zehaan Gade,24,Female,9313832282,zehaangade111579@yahoo.com,"83/588, Karpe Zila, Rajpur Sonarpur-919621",Bihar,329585,628297060271,2017-02-22
INDVOTER100244,Barkha Bora,89,Female,9746689837,barkhabora112205@yahoo.com,"H.No. 467, Tripathi, Jalgaon-277040",Uttar Pradesh,000434,781169411160,2015-08-20
INDVOTER101098,Shivani Talwar,48,Female,9209013205,shivanitalwar113961@gmail.com,"29, Issac Path, Coimbatore 936857",Tripura,078051,423215596869,2021-06-27
INDVOTER100948,Qadim Mangat,86,Other,9650602035,qadimmangat114461@gmail.com,"09, Sane Chowk, Bidar-791085",Odisha,995586,277620181017,2018-02-15
INDVOTER100734,Lohit Dhar,32,Female,9809526357,lohitdhar115514@outlook.com,"76/862, Som Marg, Farrukhabad 103678",Bihar,299499,227077453836,2019-09-30
INDVOTER100672,Meghana Buch,48,Other,9600833938,meghanabuch11647@yahoo.com,"H.No. 779, Bahl Ganj, Bally-054709",Tamil Nadu,119056,610627737267,2015-04-04
INDVOTER100144,Caleb Handa,47,Other,9353349601,calebhanda117825@outlook.com,"H.No. 03, Oak, Anantapuram-491551",Sikkim,714463,056560774927,2020-06-21
INDVOTER100591,Aarnav Shah,47,Female,9745689215,aarnavshah1184@yahoo.com,"H.No. 40, Ray Circle, Jalgaon-106283",Tripura,410304,036635448001,2016-02-16
INDVOTER100149,Krish Pau,47,Female,9805162037,krishpau119259@yahoo.com,"21, Bandi Chowk, Thiruvananthapuram-317417",Bihar,164309,177412924645,2017-05-18
INDVOTER100398,Ganga Mallick,76,Other,9060464577,gangamallick120545@outlook.com,"H.No. 39, Kakar Path, Dehri 230685",West Bengal,616371,622951605607,2023-06-18
INDVOTER100250,Aadhya Chaudry,56,Male,9528769763,aadhyachaudry121553@gmail.com,"91/077, Prashad Circle, Durgapur-528113",Andhra Pradesh,078691,848565894656,2021-06-07
INDVOTER100265,Veer Dhar,69,Female,9815767379,veerdhar122428@gmail.com,"H.No. 06, Deshpande Street, Kolhapur-452855",Punjab,738924,632334772192,2017-03-22
INDVOTER100898,Omkaar Panchal,31,Male,9258744859,omkaarpanchal123646@yahoo.com,"71, Sathe Road, Jalandhar 611905",Kerala,539825,332720966029,2020-06-20
INDVOTER100138,Aarush Shan,48,Other,9581185029,aarushshan124219@gmail.com,"H.No. 65, Saraf, Loni-895999",Meghalaya,080691,211456643998,2015-07-05
INDVOTER100476,Samaksh Patil,39,Female,9306107714,samakshpatil125182@yahoo.com,"13/05, Som Circle, Raichur-043930",Chhattisgarh,299203,663481247393,2023-02-25
INDVOTER100181,Rudra Bhatnagar,74,Other,9203174328,rudrabhatnagar126212@gmail.com,"74, Tiwari Road, Chennai 020863",Tamil Nadu,166387,465500121344,2019-12-08
INDVOTER100256,Hitesh Gade,25,Male,9047168077,hiteshgade127693@gmail.com,"81/349, Thaker, Shimoga-724221",Tamil Nadu,954058,226757291721,2016-11-24
INDVOTER100724,Darsh Misra,75,Female,9458871160,darshmisra128482@gmail.com,"35/050, Sheth Street, Suryapet 418211",Nagaland,606916,333018199252,2018-07-03
INDVOTER100439,Laban Tella,30,Female,9349585685,labantella129850@gmail.com,"H.No. 51, Kapadia Zila, Tinsukia-274658",Manipur,078843,243164813961,2019-02-15
INDVOTER100624,Anirudh Patla,68,Female,9588414018,anirudhpatla130277@gmail.com,"02/266, Hora Street, Varanasi 499393",Uttar Pradesh,782098,625141852901,2015-04-23
INDVOTER100928,Kai Bir,46,Male,9023447734,kaibir131511@gmail.com,"H.No. 40, Master Street, Arrah-855075",Arunachal Pradesh,703189,138453097981,2020-08-25
INDVOTER101060,Ethan Hegde,48,Female,9694245343,ethanhegde132337@yahoo.com,"H.No. 58, Virk Chowk, Karnal-426906",Chhattisgarh,577607,758979316751,2022-05-27
INDVOTER100405,Ikshita Gokhale,83,Other,9926596015,ikshitagokhale133888@yahoo.com,"H.No. 220, Kulkarni Path, Jalgaon 798790",Uttarakhand,872242,337274925269,2018-05-14
INDVOTER100612,Hemal Bedi,31,Other,9997317390,hemalbedi13453@yahoo.com,"85, Tara Chowk, Tirupati 922240",Tamil Nadu,817881,211226378751,2015-07-20
INDVOTER100582,Jason Choudhary,57,Female,9953802902,jasonchoudhary135567@outlook.com,"H.No. 98, Mangal Circle, Muzaffarnagar-163845",Kerala,263224,383943204865,2019-05-07
INDVOTER100411,Jairaj Biswas,60,Other,9528935690,jairajbiswas13684@yahoo.com,"H.No. 675, Oak Circle, Karawal Nagar-006738",Manipur,962309,611836570436,2019-05-01
INDVOTER100286,Samarth Comar,79,Male,9732749613,samarthcomar137774@gmail.com,"18, Parikh Nagar, Tinsukia 394921",Mizoram,421627,330557983366,2017-12-12
INDVOTER100524,Aditya Vala,59,Female,9963480516,adityavala138152@outlook.com,"H.No. 780, Choudhury Circle, Bokaro-244888",Arunachal Pradesh,291268,326502343126,2019-02-09
INDVOTER100526,Suhani Raval,72,Female,9136167081,suhaniraval139377@outlook.com,"H.No. 18, Sengupta Road, Danapur-629950",Jharkhand,602349,369690251205,2015-09-17
INDVOTER101006,Isha Deo,59,Male,9647810228,ishadeo14019@yahoo.com,"59/325, Chander Circle, Hyderabad-427087",Odisha,876594,066822005752,2021-06-05
INDVOTER100538,Praneel Upadhyay,61,Female,9540256289,praneelupadhyay141807@gmail.com,"04/21, Ramanathan, Kharagpur-555857",Madhya Pradesh,752739,566139144658,2020-07-01
INDVOTER101092,Widisha Kohli,44,Other,9164870539,widishakohli142301@gmail.com,"11, Choudhury Nagar, Bangalore-410718",Rajasthan,362353,252445350530,2022-08-07
INDVOTER101134,Charvi Chopra,78,Other,9189188047,charvichopra143368@yahoo.com,"51/206, Dave Street, Allahabad-557655",Meghalaya,562404,472361541637,2017-06-08
INDVOTER100699,Ati Ravi,34,Male,9429563701,atiravi144440@gmail.com,"31/85, Chana Street, Tirupati 541116",Haryana,864781,647300972696,2021-03-11
INDVOTER100434,Frederick Dey,58,Other,9717341352,frederickdey145138@gmail.com,"H.No. 47, Prasad Nagar, Berhampur-873107",Punjab,162977,875133735709,2016-10-16
INDVOTER100804,Mitali Mand,44,Male,9946095540,mitalimand14633@outlook.com,"H.No. 99, Prakash Path, Gudivada-182171",Jharkhand,065054,418517636715,2021-10-29
INDVOTER100174,Siddharth Narang,23,Male,9057008472,siddharthnarang147806@outlook.com,"H.No. 298, Anne Chowk, Loni 922169",Mizoram,430196,766885716292,2023-04-03
INDVOTER100627,Meera Bail,49,Male,9409322430,meerabail14847@yahoo.com,"11, Balakrishnan Circle, Pallavaram-127239",Bihar,797091,353377282503,2017-01-20
INDVOTER100830,Balvan Goda,57,Other,9916509229,balvangoda149819@yahoo.com,"301, Sen Road, Hapur-692967",Uttar Pradesh,841015,605405014711,2022-03-14
INDVOTER100366,Janani Gopal,84,Male,9904402128,jananigopal150714@outlook.com,"243, Rao Road, Hapur 199742",Goa,282265,177172259582,2022-06-05
INDVOTER100294,Diya Dani,61,Male,9088191877,diyadani151537@yahoo.com,"H.No. 119, Shan Path, Dewas-340996",Mizoram,471225,988383949479,2015-07-17
INDVOTER100536,Hemani Bhatia,59,Male,9561928353,hemanibhatia152910@outlook.com,"09/987, Shere Nagar, Meerut 344838",West Bengal,823716,557860027389,2019-04-15
INDVOTER100938,Hritik Merchant,57,Female,9877482572,hritikmerchant153162@yahoo.com,"H.No. 36, Lalla Circle, Gwalior-937159",Gujarat,418905,422277281044,2022-07-30
INDVOTER100714,Mohammed Thakkar,55,Female,9293058826,mohammedthakkar154892@gmail.com,"895, Jhaveri Marg, Ujjain-581350",Himachal Pradesh,315677,493432575041,2016-03-13
INDVOTER100651,Eshana Nagi,52,Male,9086339551,eshananagi155493@yahoo.com,"764, Rai Street, Adoni-472663",Himachal Pradesh,334159,165433708028,2019-03-11
INDVOTER101064,Kabir Prabhakar,54,Female,9078838248,kabirprabhakar156924@gmail.com,"20/998, Savant Ganj, Mahbubnagar 764865",Bihar,746645,446640440771,2023-06-16
INDVOTER100841,Prisha Loke,27,Male,9387223893,prishaloke157895@yahoo.com,"15, Sodhi Chowk, Sangli-Miraj & Kupwad 858506",Odisha,979911,752920109312,2021-12-25
